"","agea","country","rel_how","rel_pray","rel_att","belong","gender"
"1",51,"Austria",-0.0275894565246232,1.79978067513405,-0.259874013640261,TRUE,"Male"
"2",32,"Austria",0.300229085888736,-0.393429815709759,0.424296835820761,TRUE,"Male"
"3",56,"Austria",1.28368471312881,1.36113857696529,1.10846768528178,TRUE,"Female"
"4",34,"Austria",-0.0275894565246232,-0.393429815709759,-0.259874013640261,TRUE,"Female"
"5",61,"Austria",0.628047628302095,-0.832071913878521,1.10846768528178,TRUE,"Male"
"6",55,"Austria",1.61150325554217,1.36113857696529,1.7926385347428,TRUE,"Female"
"7",38,"Austria",0.955866170715454,-0.832071913878521,0.424296835820761,TRUE,"Female"
"8",35,"Austria",-1.33886362617806,-0.832071913878521,1.10846768528178,FALSE,"Male"
"9",40,"Austria",1.61150325554217,1.36113857696529,1.10846768528178,TRUE,"Female"
"10",42,"Austria",0.300229085888736,-0.832071913878521,-0.259874013640261,TRUE,"Male"
"11",36,"Austria",0.955866170715454,-0.393429815709759,1.10846768528178,TRUE,"Female"
"12",52,"Austria",0.628047628302095,0.483854380627764,1.7926385347428,TRUE,"Female"
"13",27,"Austria",0.955866170715454,-0.393429815709759,0.424296835820761,TRUE,"Male"
"14",34,"Austria",0.955866170715454,1.79978067513405,1.10846768528178,TRUE,"Female"
"15",63,"Austria",1.61150325554217,1.36113857696529,1.7926385347428,TRUE,"Female"
"16",64,"Austria",1.93932179795553,1.36113857696529,1.7926385347428,TRUE,"Female"
"17",50,"Austria",0.300229085888736,-0.832071913878521,0.424296835820761,TRUE,"Male"
"18",46,"Austria",-1.33886362617806,-0.832071913878521,0.424296835820761,FALSE,"Female"
"19",52,"Austria",0.300229085888736,0.483854380627764,1.10846768528178,TRUE,"Male"
"20",18,"Austria",1.61150325554217,0.922496478796526,1.10846768528178,TRUE,"Female"
"21",16,"Austria",0.300229085888736,0.483854380627764,1.10846768528178,TRUE,"Female"
"22",52,"Austria",0.955866170715454,0.922496478796526,-0.259874013640261,FALSE,"Male"
"23",32,"Austria",-1.33886362617806,-0.832071913878521,-0.944044863101282,FALSE,"Male"
"24",39,"Austria",-1.33886362617806,-0.832071913878521,-0.944044863101282,FALSE,"Female"
"25",57,"Austria",0.955866170715454,-0.393429815709759,-0.259874013640261,TRUE,"Female"
"26",54,"Austria",0.300229085888736,0.483854380627764,1.10846768528178,TRUE,"Female"
"27",41,"Austria",1.28368471312881,1.36113857696529,1.10846768528178,TRUE,"Female"
"28",38,"Austria",0.300229085888736,0.0452122824590024,0.424296835820761,FALSE,"Male"
"29",35,"Austria",0.300229085888736,-0.832071913878521,-0.259874013640261,TRUE,"Female"
"30",26,"Austria",0.628047628302095,0.483854380627764,0.424296835820761,TRUE,"Female"
"31",36,"Austria",1.93932179795553,1.79978067513405,-0.944044863101282,TRUE,"Female"
"32",33,"Austria",-0.355407998937982,-0.832071913878521,0.424296835820761,TRUE,"Male"
"33",57,"Austria",-0.683226541351341,-0.393429815709759,0.424296835820761,TRUE,"Female"
"34",39,"Austria",0.628047628302095,0.922496478796526,1.10846768528178,TRUE,"Female"
"35",59,"Austria",0.955866170715454,1.79978067513405,1.10846768528178,TRUE,"Male"
"36",40,"Austria",0.628047628302095,1.36113857696529,1.10846768528178,TRUE,"Female"
"37",19,"Austria",-0.683226541351341,-0.832071913878521,0.424296835820761,TRUE,"Female"
"38",45,"Austria",-1.33886362617806,-0.832071913878521,-0.944044863101282,FALSE,"Female"
"39",39,"Austria",-0.0275894565246232,-0.393429815709759,-0.259874013640261,TRUE,"Female"
"40",37,"Austria",0.628047628302095,0.0452122824590024,1.10846768528178,TRUE,"Male"
"41",43,"Austria",-0.683226541351341,-0.832071913878521,-0.259874013640261,FALSE,"Male"
"42",35,"Austria",1.28368471312881,1.36113857696529,1.10846768528178,TRUE,"Female"
"43",57,"Austria",0.300229085888736,1.36113857696529,-0.259874013640261,TRUE,"Female"
"44",44,"Austria",0.300229085888736,-0.393429815709759,-0.259874013640261,TRUE,"Male"
"45",42,"Austria",0.955866170715454,1.79978067513405,-0.259874013640261,TRUE,"Female"
"46",40,"Austria",-0.355407998937982,-0.832071913878521,-0.944044863101282,FALSE,"Female"
"47",17,"Austria",0.628047628302095,-0.393429815709759,0.424296835820761,TRUE,"Female"
"48",39,"Austria",-0.0275894565246232,0.922496478796526,-0.259874013640261,TRUE,"Female"
"49",40,"Austria",-0.355407998937982,-0.832071913878521,-0.259874013640261,TRUE,"Male"
"50",45,"Austria",0.628047628302095,0.922496478796526,1.10846768528178,TRUE,"Male"
"51",32,"Austria",0.955866170715454,0.922496478796526,1.7926385347428,TRUE,"Male"
"52",64,"Austria",1.28368471312881,1.36113857696529,1.7926385347428,TRUE,"Female"
"53",53,"Austria",1.28368471312881,1.79978067513405,1.10846768528178,TRUE,"Male"
"54",39,"Austria",0.628047628302095,-0.393429815709759,0.424296835820761,TRUE,"Male"
"55",28,"Austria",-0.683226541351341,0.0452122824590024,-0.259874013640261,TRUE,"Female"
"56",47,"Austria",1.28368471312881,1.79978067513405,-0.259874013640261,TRUE,"Female"
"57",41,"Austria",-0.355407998937982,-0.393429815709759,-0.944044863101282,FALSE,"Female"
"58",50,"Austria",0.300229085888736,1.79978067513405,0.424296835820761,TRUE,"Male"
"59",41,"Austria",1.61150325554217,1.36113857696529,1.10846768528178,TRUE,"Male"
"60",44,"Austria",0.955866170715454,0.922496478796526,1.10846768528178,TRUE,"Female"
"61",53,"Austria",0.300229085888736,-0.832071913878521,0.424296835820761,TRUE,"Female"
